#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Tiene_link_externo
1,Luxur Detailing spa,La Granja,5.0,110,9 3336 7872,,luxur_detailing,Si
2,"Gega restauración y pulido de focos, sellado cerámico, estética automotriz lavado tapiz",Santiago Centro,5.0,72,9 5563 4056,Carlos Martel 2230,gega_detailing,Si
3,Zero Aqua,La Florida,5.0,19,9 9004 5920,Abierto,zeroaqua,Si
4,Aces Detail,Cerrillos,5.0,15,9 8761 6045,Los Torneros 602,,Si
5,Detailing JV Chile,Santiago Centro,5.0,10,9 7814 7454,,,Si
6,Maxis Detailing,Puente Alto,5.0,10,9 4230 0770,Quelen,maxis.detailing,Si
7,"Linsambarth Detailing- Detallado Automotriz, Pintura, Laminas de Seguridad.",La Reina,5.0,8,9 3181 8090,Cerrado,linsambarth_detailing,Si
8,Jpautodetailing Spa,Vitacura,5.0,5,9 9475 0239,,,No
9,Ferdinand Detail Motorsport,Santiago Centro,5.0,4,9 7138 6229,,,No
10,AR.detailingcars,Santiago Centro,5.0,3,9 4531 9161,Los Canelos 1516,,No
11,LAVAMOVIL V.M.C.,Puente Alto,5.0,2,9 8400 3002,,,No
12,Detailing NAC,Las Condes,5.0,1,9 5519 5415,Las Hualtatas 5895,,No
13,Fama detailing automotriz,La Granja,5.0,1,9 6156 0812,Ignacio Echeverría 8722,,No
14,Hope Detail servicio automotriz,Lo Espejo,5.0,1,9 4916 6042,,,No
15,Ummo car detailing,Lo Espejo,5.0,1,9 6212 4478,"Cerca de Ocho Ote. 7686, 9140829",,No
16,Puli2.dcg,Puente Alto,5.0,1,9 4048 2678,San Marcos 2575,puli2.dcg,Si
17,BOMBERCARS Lavado de Autos,Lo Espejo,4.9,53,9 2021 5148,Av. Cooperación 6592,,No
18,Clinica de Pintura y Detailing,La Granja,4.9,23,9 8380 7097,,clinicapyd,Si
19,Estacion Carwash,San Joaquín,4.8,28,9 6555 0244,Av. Departamental 431,,No
20,Spacarsduque,Santiago Centro,4.6,171,9 6204 0580,Tienda Física Spacarsduque - Longitudinal 5416,spacars_duque,Si
21,Danilab detailing center,La Pintana,4.6,35,9 8512 5829,Luis Matte Larraín 1396-1301,danilab_detailing,Si
22,Pro Paint Detailing,Ñuñoa,4.6,5,,Ana 2614,,No
23,Maniacs for Detailing,La Pintana,4.5,11,9 7475 0747,,,No
24,Luxury Car Details - garage,Independencia,4.3,36,9 3531 1003,La Serena 796,,No
25,Detailing Chile,Santiago Centro,4.0,36,9 8628 4947,Sta. Adela 0320,detailingchile,No
26,MundoDetailing Detallado Automotriz,Santiago Centro,4.0,2,9 2176 7692,Jaime Eyzaguirre 453,,No
27,Elite Car Service SpA,San Miguel,3.9,200,(2) 2723 2588,,elitecarservicespa,No
28,Clean Cars Wash Lavado de autos San Miguel,San Joaquín,3.9,15,9 7143 0202,Álvarez de Toledo 753,cleancarsanmiguel,Si
