name,city,rating,reviews,phone,address,instagram_handle,has_website
Taller Pintura al Horno Automotriz CyF PERFORMANCE,La Florida,5.0,146,9 6472 0664,,cyf_performance,True
"Gega restauración y pulido de focos, sellado cerámico, estética automotriz lavado tapiz",Santiago Centro,5.0,72,9 5563 4056,Carlos Martel 2230,gega_detailing,True
Zero Aqua,La Florida,5.0,19,9 9004 5920,Abierto,zeroaqua,True
Aces Detail,Cerrillos,5.0,15,9 8761 6045,Los Torneros 602,,True
Detailing JV Chile,Santiago Centro,5.0,10,9 7814 7454,,,True
Maxis Detailing,Puente Alto,5.0,10,9 4230 0770,Quelen,maxis.detailing,True
"Linsambarth Detailing- Detallado Automotriz, Pintura, Laminas de Seguridad.",La Reina,5.0,8,9 3181 8090,Cerrado,linsambarth_detailing,True
JR Automotriz Desabolladura y Pintura,Puente Alto,5.0,6,9 8199 3681,German Ebbinghauss 0244,jr.automotriz.dyp,True
Taller DyP autos,La Pintana,5.0,5,9 5863 7267,Miguel Ángel 03541,,False
Ferdinand Detail Motorsport,Santiago Centro,5.0,4,9 7138 6229,,,False
Juan Rojas Servicio Automotriz,El Bosque,5.0,4,,Av. Padre Hurtado 11751,,False
AR.detailingcars,Santiago Centro,5.0,3,9 4531 9161,Los Canelos 1516,,False
LAVAMOVIL V.M.C.,Puente Alto,5.0,2,9 8400 3002,,,False
Detailing NAC,Las Condes,5.0,1,9 5519 5415,Las Hualtatas 5895,,False
Fama detailing automotriz,La Granja,5.0,1,9 6156 0812,Ignacio Echeverría 8722,,False
Hope Detail servicio automotriz,Lo Espejo,5.0,1,9 4916 6042,,,False
Ingeniería de motores y pintura automotriz.,Lo Prado,5.0,1,9 3663 2594,"Los Maitenes 808, b",,True
Ummo car detailing,Lo Espejo,5.0,1,9 6212 4478,"Cerca de Ocho Ote. 7686, 9140829",,False
Puli2.dcg,Puente Alto,5.0,1,9 4048 2678,San Marcos 2575,puli2.dcg,True
Desabolladura Y Pintura Automotriz,La Florida,4.9,95,9 5891 5022,,,False
BOMBERCARS Lavado de Autos,Lo Espejo,4.9,53,9 2021 5148,Av. Cooperación 6592,,False
Clinica de Pintura y Detailing,La Granja,4.9,23,9 8380 7097,,clinicapyd,True
Pro Race,Providencia,4.9,15,,,prorace,False
Boutique Service,Quinta Normal,4.8,38,9 7488 1668,,,True
Estacion Carwash,San Joaquín,4.8,28,9 6555 0244,Av. Departamental 431,,False
Lubricentro Bustamante,Providencia,4.7,55,(2) 2885 4445,,lubricentrobustamante,False
The Center,Ñuñoa,4.7,14,9 9414 9780,Cuevas 936,thecenter,False
Spacarsduque,Santiago Centro,4.6,171,9 6204 0580,Tienda Física Spacarsduque - Longitudinal 5416,spacars_duque,True
Danilab detailing center,La Pintana,4.6,35,9 8512 5829,Luis Matte Larraín 1396-1301,danilab_detailing,True
Lavado de Autos A Domicilio Limpieza de tapiz y Detallado Básico automotriz TuEcolavado.cl,Providencia,4.6,34,9 3114 2447,,tuecolavado.cl,True
Instalación GPS Inmovilizador Autos Vehículos Lavado Automotriz (Autolavado) TUGPSPO,San Joaquín,4.6,21,9 9297 3485,Av. Carlos Valdovinos 1216,tugpspo,True
Pro Paint Detailing,Ñuñoa,4.6,5,,Ana 2614,,False
Maniacs for Detailing,La Pintana,4.5,11,9 7475 0747,,,False
Jm Cañerias Automotriz,Peñalolén,4.5,11,9 6648 9003,Av. los Orientales 5784,jmcaneriasautomotriz,False
Il Carrozziere,Puente Alto,4.5,8,9 5402 1022,Av. Eyzaguirre 3750,ilcarrozziere.cl,True
Desabolladura en frío,Las Condes,4.4,86,9 7274 7843,,desabolladuraenfrio,True
Cig Motors,La Florida,4.4,30,9 5117 3901,,cigmotors,True
Lavado de tapiz simunizado pulido de auto mas sellador alemán,Puente Alto,4.4,8,9 9409 2642,La Palma 315,,False
Luxury Car Details - garage,Independencia,4.3,36,9 3531 1003,La Serena 796,,False
Lavado de Autos Macul,Ñuñoa,4.3,30,9 5347 4731,,,False
RG AUTOMOTRIZ,Lo Barnechea,4.3,26,9 2779 0968,Los Fresnos 601,rgautomotrizcl,True
desabolladura y pintura,La Florida,4.3,18,9 8152 1261,Av. Diego Portales 2254,desabolladuraypintura,False
JACI Automóviles,Recoleta,4.3,11,9 4293 2125,,,False
Lavado De Autos Central,Lo Espejo,4.2,49,9 7856 7440,Av. Central Cardenal Raúl Silva Henríquez 7682,lavadodeautoscentral,False
Desabolladura Y Pintura Piti,Puente Alto,4.2,16,,Cerrado,,False
Auto Pintura,El Bosque,4.2,13,9 6247 9617,"Paraíso 10028, El Bosque, Paraíso 10028",,False
Desabolladura/ Pintura Taller Miguel,Quinta Normal,4.1,19,(2) 2775 7215,Av. Apóstol Santiago 674,,False
Detailing Chile,Santiago Centro,4.0,36,9 8628 4947,Sta. Adela 0320,detailingchile,False
MundoDetailing Detallado Automotriz,Santiago Centro,4.0,2,9 2176 7692,Jaime Eyzaguirre 453,,False
Desabolladura,La Granja,4.0,1,,Linares 421,,False
Clean Cars Wash Lavado de autos San Miguel,San Joaquín,3.9,15,9 7143 0202,Álvarez de Toledo 753,cleancarsanmiguel,True
Guillermo Morales,Macul,3.8,19,,,guillermomorales,False
Iván Reyes Pintura Desabolladura,La Granja,3.7,3,,San Martín 80,,False
