#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Categoria
1,Multiservicios KSA Tokio,Recoleta,5.0,87,9 4109 0833,,ksatokio_multiservicios.cl,Servicio de lavado de coches
2,LAVAMAS,La Granja,5.0,24,9 7906 6148,"Aragones 1 Ote., Poniente 1064",lavamas2.0,Servicio de lavado de coches
3,AUTO LAVADO SJ,Maipú,5.0,23,9 6346 6270,,,Autoservicio de lavado de autos
4,WashPro,San Joaquín,5.0,12,9 8465 8025,Buzo Sobenes 4341,wash.pro.cl,Servicio de lavado de coches
5,Almao CarWash,Independencia,5.0,6,9 3254 4532,Rouget de Lisle 1029,,Servicio de lavado de coches
6,Sirius Car Wash,Talagante,5.0,6,9 6854 4323,Av. Tala Canta Ilabe,sirius_carwash,Servicio de lavado de coches
7,"LAVADO DE AUTOS, AC MOTOS SPA",San Joaquín,5.0,6,9 8169 7612,Eduardo Matte 1998,,Servicio de lavado de coches
8,Lucarwash,San Joaquín,5.0,6,,Chiloé 4296,,Servicio de lavado de coches
9,Turbolavado R y N,Pudahuel,5.0,6,9 6416 3835,Cam. A Rinconada 1136,turbolavado_ryn,Servicio de lavado de coches
10,AutolimpioColombia.cl,Quinta Normal,5.0,5,9 6467 6726,,,Servicio de lavado de coches
11,Lavado las paisas,Quinta Normal,5.0,5,9 5091 2162,Hoevel 4858,,Servicio de lavado de coches
12,JISAN AUTO SPA,Lo Barnechea,5.0,4,9 3768 3665,"Ubicados en el Interior del estacionamiento - Monjitas 559, estacionamiento, Monjitas, Piso 1",,Servicio de limpieza de automóviles
13,Auto lavado tasss loco ramon,Cerro Navia,5.0,4,9 3730 4823,Ramón Ángel Jara 1777,,Autoservicio de lavado de autos
14,Club 34 Motorsport,San Joaquín,5.0,3,9 3451 1496,Av. Departamental 34,,Servicio de lavado de coches
15,Lavadossaik,Melipilla,5.0,3,9 3586 6950,Cerrado,,Autoservicio de lavado de autos
