#,Nombre,Comuna,Rating,Resenas,Telefono,Direccion,Instagram,Categoria
1,Multiservicios KSA Tokio,Recoleta,5.0,87,9 4109 0833,,ksatokio_multiservicios.cl,Servicio de lavado de coches
2,Optimus Cars SPA,Maipú,5.0,69,9 4539 8710,,,Servicio de lavado de coches
3,MaxWash,Santiago Centro,5.0,53,9 2385 1761,"Av Rodrigo de Araya 2603, Macul",,Servicio de lavado de coches
4,Ceramic Pro Chile,Santiago Centro,5.0,49,9 8228 2582,La Serena 796,,Servicio de lavado de coches
5,Garage Carwash,Cerro Navia,5.0,42,9 3421 8162,Av. Domingo Sta. María 4189,grg_cl,Servicio de lavado de coches
6,CAR WASH MG DETAIL,La Pintana,5.0,36,9 3037 1829,Av. Gabriela,,Servicio de lavado de coches
7,LAVAMAS,La Granja,5.0,24,9 7906 6148,"Aragones 1 Ote., Poniente 1064",lavamas2.0,Servicio de lavado de coches
8,AUTO LAVADO SJ,Maipú,5.0,23,9 6346 6270,,,Autoservicio de lavado de autos
9,Young bros Detail,Las Condes,5.0,20,,Tabancura 1594,,Servicio de lavado de coches
10,Dirtyworks Detail,Santiago Centro,5.0,18,9 7399 6478,San Isidro 1597,dirtyworks_detail,Servicio de lavado de coches
11,MAflos car wash & detailing,Santiago Centro,5.0,18,9 8860 0734,Av. José Joaquín Pérez 9541,,Servicio de lavado de coches
12,Gallardo Cars,La Pintana,5.0,18,,El Peñón 01902,gallardo_cars_7,Servicio de lavado de coches
13,Deep Details,Lo Prado,5.0,17,9 3229 8916,Av. Pdte. Eduardo Frei Montalva 5300,,Autoservicio de lavado de autos
14,RinoFino detail,Santiago Centro,5.0,15,9 9662 7292,El Rugby 5698,rinofino.bigcut,Servicio de lavado de coches
15,Criss detail,Cerrillos,5.0,15,,Pje. Nestor Riffo Curin 7766,criss_detail,Servicio de lavado de coches
16,Emi Detail,La Florida,5.0,14,9 4042 9000,Nemesio Vicuña,emidetailing,Servicio de lavado de coches
17,DelaWash - Lavado de Autos y tapices en Maipú,Maipú,5.0,14,9 4083 0045,Monte Palomar 164,,Servicio de lavado de coches
18,Lovwash,Maipú,5.0,14,,Central Gonzalo Pérez Llona 543,,Servicio de lavado de coches
19,Mr. Car Clean,Buin,5.0,13,9 8791 3273,Ocho Pte. 1298,,Servicio de lavado de coches
20,DLUXE CAR WASH & DETAILING - LAVADO DE AUTOS AV LA ESTRELLA #1430,Santiago Centro,5.0,12,9 5027 8802,Av. La Estrella 1430,,Servicio de lavado de coches
21,Lava Autos Colombia,Santiago Centro,5.0,12,9 5204 3315,Nueva Extremadura 4410,lavadodetapizchile,Servicio de lavado de coches
22,WashPro,San Joaquín,5.0,12,9 8465 8025,Buzo Sobenes 4341,wash.pro.cl,Servicio de lavado de coches
23,Downing Detail - Servicio de Detailing Móvil a Domicilio,La Reina,5.0,11,9 6680 5135,Abierto,,Servicio de lavado de coches
24,Black Lion Garage | Pulido de vehículos,La Florida,5.0,11,9 5718 6284,Manutara 10372,blacklion.garage,Pintura de automóviles
25,Diamond Cars Detailing Lavado De Autos,La Pintana,5.0,11,9 2691 5852,José Luis Coo 165,,Servicio de lavado de coches
26,Multiservicios Enma-car,Lampa,5.0,10,9 5949 9188,Isabel Riquelme 1131,,Servicio de lavado de coches
27,Menta Detailing,Ñuñoa,5.0,9,,Los Jardines 84,,Servicio de limpieza de automóviles
28,Route Wash,San Ramón,5.0,9,9 6687 0416,Av. Lo Espejo 0168,route.wash,Servicio de lavado de coches
29,Auto Lavado Crack,Cerrillos,5.0,9,,El Mirador 1405,lavadoautocrack,Servicio de lavado de coches
30,Wolf Detailing | Car Wash,Colina,5.0,9,9 5957 0218,Cerrado,,Servicio de lavado de coches
31,Lavakar,Ñuñoa,5.0,8,9 5648 6489,Av. Pedro de Valdivia 5439,lavakar.cl,Servicio de lavado de coches
32,Detailsolutions.cl,Santiago Centro,5.0,8,9 7647 2179,,detailsolutions.cl,Servicio de lavado de coches
33,Lavacar Service,Macul,5.0,7,,Los Tucanes 6077,lavacarchile,Servicio de lavado de coches
34,Orange Estética Automotriz,Santiago Centro,5.0,7,9 6357 2434,Av. Del Canal 19811,,Servicio de lavado de coches
35,Shinedry Estética Automotriz a Domicilio,Paine,5.0,7,9 6461 6738,"Av. Miraflores 2005, A-2",,Servicio de lavado de coches
36,Ey! car wash,Santiago Centro,5.0,6,9 2686 6072,Placer 439,,Servicio de lavado de coches
37,carwash coffee drink,La Florida,5.0,6,9 5672 3446,Cerrado temporalmente,,Servicio de lavado de coches
38,JSP detailing,Lo Espejo,5.0,6,9 3082 8558,Adelaida 4042,,Servicio de lavado de coches
39,LAVADO DE AUTOS LC,Maipú,5.0,6,9 5210 3315,Av. Portales 2197,,Servicio de lavado de coches
40,Almao CarWash,Independencia,5.0,6,9 3254 4532,Rouget de Lisle 1029,,Servicio de lavado de coches
41,Sirius Car Wash,Talagante,5.0,6,9 6854 4323,Av. Tala Canta Ilabe,sirius_carwash,Servicio de lavado de coches
42,"LAVADO DE AUTOS, AC MOTOS SPA",San Joaquín,5.0,6,9 8169 7612,Eduardo Matte 1998,,Servicio de lavado de coches
43,FMW PREMIUM WRAP & PPF CENTER,Ñuñoa,5.0,6,9 8790 5579,Cuevas 936,,Servicio de lavado de coches
44,Lucarwash,San Joaquín,5.0,6,,Chiloé 4296,,Servicio de lavado de coches
45,Turbolavado R y N,Pudahuel,5.0,6,9 6416 3835,Cam. A Rinconada 1136,turbolavado_ryn,Servicio de lavado de coches
46,Al Toke Car Wash,San Joaquín,5.0,5,9 2870 5678,Bolivia 1743,,Servicio de lavado de coches
47,Lavado de autos Brillosito extremo,Cerro Navia,5.0,5,9 3508 9617,Machalí 1338,,Servicio de lavado de coches
48,DASERJO CARWASH & DETAILING,Puente Alto,5.0,5,9 8459 6744,Av. El Peral 06013,,Servicio de lavado de coches
49,AutolimpioColombia.cl,Quinta Normal,5.0,5,9 6467 6726,,,Servicio de lavado de coches
50,Lavado las paisas,Quinta Normal,5.0,5,9 5091 2162,Hoevel 4858,,Servicio de lavado de coches
51,Miranda's Detailing,Las Condes,5.0,4,9 8239 2186,Cerrado,,Servicio de lavado a presión
52,Lavado de auto F&T,Pedro Aguirre Cerda,5.0,4,9 3677 2305,Av. Lo Ovalle 2805,,Servicio de lavado de coches
53,Leblue carwash®,Huechuraba,5.0,4,9 8801 7553,sin direccion,leblue.carwash,Servicio de lavado de coches
54,Ya Lávame,Melipilla,5.0,4,9 8224 7126,Ruta G-60 km15,ya__lavame,Servicio de lavado de coches
55,Lavado automotriz LASER SANCHEZ Y SANCHEZ,Talagante,5.0,4,9 9505 0815,G-78 36,,Autoservicio de lavado de autos
56,JISAN AUTO SPA,Lo Barnechea,5.0,4,9 3768 3665,"Ubicados en el Interior del estacionamiento - Monjitas 559, estacionamiento, Monjitas, Piso 1",,Servicio de limpieza de automóviles
57,Auto lavado tasss loco ramon,Cerro Navia,5.0,4,9 3730 4823,Ramón Ángel Jara 1777,,Autoservicio de lavado de autos
58,MEGA LAVADO CAR WASH,Vitacura,5.0,4,9 6231 6755,Salvador Gutiérrez 4425,,Servicio de lavado de coches
59,Lavado De Autos CB,La Reina,5.0,3,9 9790 6006,Av. José Arrieta 9081,,Servicio de lavado de coches
60,Lavado De Autos y Detailing MultiservicesJL,La Reina,5.0,3,9 3683 5033,Antupiren 9281,,Autoservicio de lavado de autos
61,limpii Car,San Joaquín,5.0,3,9 3741 1885,Av. Departamental 793,,Servicio de lavado de coches
62,Luckywashing,La Granja,5.0,3,9 8426 2547,Los Vilos 8067,,Servicio de lavado de coches
63,LI Car Wash & Detailing,San Ramón,5.0,3,,Argentina 1980,,Servicio de lavado de coches
64,CARWASH ABBA,Cerro Navia,5.0,3,9 6225 2360,,,Servicio de lavado de coches
65,LavadosJtorres,Colina,5.0,3,9 5033 8208,"Calle la barca 178, Calle General San Martin 0177",,Servicio de lavado de coches
66,Lavado de autos Snow Clean,Colina,5.0,3,9 3400 0843,Alpatacal 181,snowclean_colina,Servicio de lavado de coches
67,Carwash__home,Buin,5.0,3,9 7328 3616,Diego Osorio Aravena 98,carwash__home,Servicio de lavado de coches
68,Lavado y pulido de vehiculos - AutoDetailingBrothers_,Buin,5.0,3,9 2093 6493,Pje. Maximiliano Valdés 2834,,Servicio de lavado de coches
69,Liftun Lavados,Talagante,5.0,3,9 6624 6131,"Bernardo O'Higgins, Alto Del Sol 2723",,Servicio de limpieza de automóviles
70,BeDetail,Pudahuel,5.0,3,9 3318 8039,San Luis 2743,bedetail.cl,Servicio de lavado de coches
71,Dab detailing,San Bernardo,5.0,3,9 4512 1073,"Francisco Coloane 2, casa 75",dab.detailing,Servicio de lavado de coches
72,Club 34 Motorsport,San Joaquín,5.0,3,9 3451 1496,Av. Departamental 34,,Servicio de lavado de coches
73,Lavadossaik,Melipilla,5.0,3,9 3586 6950,Cerrado,,Autoservicio de lavado de autos
74,Mirolav Cars San Pio X Providencia,Providencia,5.0,2,9 3496 9983,,,Servicio de lavado de coches
75,Detailing Car n&l,Las Condes,5.0,2,9 4284 5591,,,Servicio de lavado de coches
76,Garage Service,La Florida,5.0,2,9 7173 9626,Av. Trinidad 1420,,Servicio de lavado de coches
77,Detailing.cm,Maipú,5.0,2,9 9731 4494,Pasaje Diogenes 2942. Maipú,,Servicio de lavado de coches
78,MiDi Carwash,Maipú,5.0,2,9 6478 8588,"Condominio patagonia 2 80, ciudad satelite",,Servicio de lavado de coches
79,Autolavado Fresh y clean,Quinta Normal,5.0,2,9 8138 8686,Coronel Robles 1173,,Servicio de lavado de coches
80,LAVADO DE AUTOS Rencar Wash,Renca,5.0,2,,Av Costanera,,Servicio de lavado de coches
81,King diamond detailing,Renca,5.0,2,9 4036 8286,Flor María 5468,,Servicio de lavado de coches
82,Hidro detail chile,Colina,5.0,2,9 5097 7695,Reina Nte. 600,hidrodetailchile,Servicio de lavado de coches
83,Car Yupi,Padre Hurtado,5.0,2,,Av. San Ignacio 1624,,Servicio de lavado de coches
84,Prime Carwash PH,Padre Hurtado,5.0,2,9 6344 7973,Las Higueras 2371,,Autoservicio de lavado de autos
85,Delux Simunizado,Macul,5.0,2,9 3286 7086,Los Vilos 6825,,Servicio de lavado de coches
86,Autolavado J&J,San Joaquín,5.0,2,9 5953 2925,Pje. Benozzo Gozzoli 4950,,Autoservicio de lavado de autos
87,TOWERS CAR,Recoleta,5.0,2,9 6101 7751,"Av. Américo Vespucio 1155, Loc h9p",,Servicio de lavado de coches
88,Lavado de Vehículos Yamira Erices EIRL,La Granja,5.0,2,9 7985 8131,,,Servicio de lavado de coches
89,Detailing wash King,La Pintana,5.0,2,,Rimbaud 3229,,Servicio de lavado de coches
90,Deluxecarwashpro,Colina,5.0,2,9 9437 7989,Caletera Ote. Gral. San Martín km 30,,Servicio de lavado de coches
91,Carwash Wallo,San Joaquín,5.0,2,9 6291 8087,Juan Sebastián Bach 279,,Servicio de lavado de coches
92,KJ servicios spa,Recoleta,5.0,2,,Av. Einstein 527,,Servicio de lavado de coches
93,Soyseco SpA,Buin,5.0,2,9 5949 3213,Raul Gajardo Gajardo 884,,Servicio de lavado de coches
94,Detailing el zurdo,Puente Alto,5.0,2,9 7956 5100,Pje. Cafernaum 1 Nte. 3058,detailing_elzurdo,Servicio de limpieza de automóviles
95,CarWashSpeedy,Puente Alto,5.0,2,9 3564 9826,C. Creta 2662,,Servicio de lavado de coches
