reason,name,city,rating,reviews,category
barrio-pattern,Autolavado LavaPro,Santiago Centro,4.2,155,Servicio de lavado de coches
manual-reject,Juan Diego Cabrera Palacios Ventas Y Servicios Automotrices E.I.R.L,Santiago Centro,5.0,1,Servicio de lavado de coches
manual-reject,Rapido y Brilloso,Santiago Centro,5.0,1,Servicio de limpieza de automóviles
manual-reject,La Dehesa Limitada,Lo Barnechea,3.7,80,Servicio de lavado de coches
no-distinctive-content,LAVADO DE AUTO EN MACUL,Macul,4.1,18,Servicio de lavado de coches
manual-reject,Lavamoto Chile,Macul,4.6,9,Servicio de lavado de coches
category-not-whitelisted,MULTISERVICIOS JJ SPA - JDC CARS,San Joaquín,5.0,89,Servicio de polarizado de autos
manual-reject,"Mecanica preventiva, general",La Granja,5.0,1,Servicio de lavado de coches
manual-reject,Lavados de Autos Cristián,La Pintana,4.0,24,Servicio de lavado de coches
manual-reject,"Víctor Gutiérrez Valenzuela ""Cano""",San Ramón,4.9,9,Servicio de limpieza de automóviles
barrio-pattern,lavado nativo,El Bosque,3.1,7,Servicio de lavado de coches
barrio-pattern,Lavados Autos Markitos,El Bosque,5.0,6,Servicio de lavado de coches
block-substr,Vulcanización hidrovulc,El Bosque,4.9,90,Servicio de lavado de coches
barrio-pattern,Lavado Automotriz Artesanal,La Cisterna,4.0,2,Servicio de lavado de coches
manual-reject,CAMBIO DE DUEÑO,La Cisterna,4.8,39,Servicio de lavado de coches
no-distinctive-content,Premium Lavadero de Autos,San Miguel,4.3,143,Servicio de lavado de coches
barrio-pattern,Lavado de Autos El Llano,San Miguel,4.6,36,Servicio de lavado de coches
manual-reject,Taller Innovaciones,Lo Espejo,3.8,37,Servicio de lavado de coches
no-distinctive-content,Autolavado,Estación Central,4.2,103,Servicio de lavado de coches
block-substr,"Estacionamiento, Lavado de Vehículos y Comercio",Estación Central,4.5,19,Servicio de lavado de coches
barrio-pattern,Lavado de autos jsp,Cerrillos,5.0,2,Servicio de lavado de coches
block-substr,Servicio Estacionamiento y Taller de Limpieza y Pulido de Vehiculos,Maipú,4.2,27,Aparcamiento de coches compartidos
no-distinctive-content,Lavado de autos a domicilio en maipu,Maipú,5.0,46,Servicio de lavado de coches
